"","site_name","mean","median","sd"
"1","Armington_Lake",420.391193415638,420.23,4.95896963966443
"2","Captain_Pond",50.9368080272624,51.09,1.76696128814819
"3","Connor_Pond",284.742778079219,283.25,4.77692843843842
"4","Flint_Pond",62.3500452007445,61.66,2.74886335757066
"5","Governors_Lake",90.7518426770969,90.5,2.8276785367882
"6","Hothole_Pond",157.721638850255,157.79,4.66183183688878
"7","Lees_Pond",157.73255263842,157.79,1.88247403991238
"8","Long_Pond",51.5586658536585,51.57,2.43959208964318
"9","Marchs_Pond",270.644761609907,270.75,1.83873448125298
"10","Messer_Pond",339.010978818999,339,1.78241945282564
"11","Partridge_Lake",265.901186246418,265.46,4.51170741931167
"12","Phillips_Pond",71.9769747309312,71.27,3.9302292178048
"13","Shaws_Pond",242.042894366197,242.39,3.76919887856235
